assessment_year,tax_statement_year,total_assessed_value,net_tax,total_levy,record_status,public_source_label
2009,2009,98470,1936.28,,complete except total levy not displayed,Nebraska Taxes Online annual statement history
2010,2010,98470,1959.92,,complete except total levy not displayed,Nebraska Taxes Online annual statement history
2011,2011,98470,1965.76,2.071625,complete,Nebraska Taxes Online annual statement history
2012,2012,98470,1970.20,2.072314,complete,Nebraska Taxes Online annual statement history
2013,2013,98470,1946.02,2.042235,complete,Nebraska Taxes Online annual statement history
2014,2014,98470,1917.60,2.018927,complete,Nebraska Taxes Online annual statement history
2015,2015,98470,1855.90,1.978838,complete,Nebraska Taxes Online annual statement history
2016,2016,98470,1796.02,1.913488,complete,Nebraska Taxes Online annual statement history
2017,2017,98470,1821.02,1.937257,complete,Nebraska Taxes Online annual statement history
2018,2018,98470,1950.34,2.067146,complete,Nebraska Taxes Online annual statement history
2019,2019,107465,2103.24,2.061282,complete,Nebraska Taxes Online annual statement history
2020,2020,107465,2060.62,2.019692,complete,Nebraska Taxes Online annual statement history
2021,2021,107465,2036.08,2.002198,complete,Nebraska Taxes Online annual statement history
2022,2022,119335,2183.38,1.936215,complete,Nebraska Taxes Online annual statement history
2023,2023,138170,2395.28,1.844862,complete,Nebraska Taxes Online annual statement history
2024,2024,151135,1966.28,1.686636,complete,Nebraska Taxes Online annual statement history
2025,2025,165395,2023.54,1.586964,complete,Nebraska Taxes Online annual statement history
2026,2026,166910,,,assessment available; levy and net tax not yet determined,Gage County Assessor property record dated 2026-07-31
